sinai_med,mover_med,,,,,
Mepivacaine,MEPIVACAINE HCL (PF) 2 % IJ SOLN,,,,,
Dextran,DEXTRAN 40 IN D5W 10 % IV SOLN,,,,,
Dextran,DEXTRAN 40 IN SALINE 10-0.9 % IV SOLN,,,,,
Fat emulsion,FAT EMULSION 20 % IV EMUL,,,,,
Fat emulsion,FAT EMUL FISH OIL/PLANT BASED 20 % IV EMUL,,,,,
Fat emulsion,FAT EMULSION PLANT BASED (SOY) 20 % IV EMUL,,,,,
Dabigatran,DABIGATRAN ETEXILATE MESYLATE 150 MG PO CAPS,,,,,
Riociguat,RIOCIGUAT 2.5 MG PO TABS,,,,,
Darunavir; Cobicistat,DARUNAVIR-COBICISTAT 800-150 MG PO TABS,,,,,
Darunavir; Cobicistat,DARUNAVIR ETHANOLATE 800 MG PO TABS,,,,,
Darunavir; Cobicistat,COBICISTAT 150 MG PO TABS,,,,,
Glipizide,GLIPIZIDE 5 MG OR TABS,,,,,
Moxifloxacin,MOXIFLOXACIN HCL 0.5 % OP SOLN,,,,,
Sildenafil,SILDENAFIL CITRATE 20 MG OR TABS,,,,,
Sildenafil,SILDENAFIL CITRATE 25 MG OR TABS,,,,,
Promethazine,PROMETHAZINE HCL 25 MG/ML IJ SOLN (UCI),,,,,
Promethazine,PROMETHAZINE HCL 25 MG OR TABS,,,,,
Promethazine,PROMETHAZINE HCL 50 MG RE SUPP,,,,,
Promethazine,PROMETHAZINE HCL 25 MG RE SUPP,,,,,
Promethazine,PROMETHAZINE IVPB (UCI),,,,,
Ampicillin,AMPICILLIN SODIUM 1 GM IJ SOLR,,,,,
Ampicillin,AMPICILLIN SODIUM 2 GM IJ SOLR,,,,,
Ampicillin,AMPICILLIN 500 MG OR CAPS,,,,,
Ampicillin,AMPICILLIN IVPB 1 GM,,,,,
Ampicillin,AMPICILLIN IVPB 2 GM,,,,,
Ampicillin,AMPICILLIN IVPB (VARIABLE DOSE),,,,,
ritonavir,RITONAVIR 100 MG PO TABS,,,,,
Raltegravir,RALTEGRAVIR POTASSIUM 400 MG OR TABS,,,,,
Ceftazidime,CEFTAZIDIME IV PUSH 1 GM IN SWFI 10 ML,,,,,
Ceftazidime,CEFTAZIDIME IV PUSH 2 GM IN SWFI 10 ML,,,,,
Ceftazidime,CEFTAZIDIME 2 GM IJ SOLR,,,,,
Ceftazidime,CEFTAZIDIME IVPB 2 GM (UCI),,,,,
Ceftazidime,CEFTAZIDIME IVPB (VARIABLE DOSE) (UCI),,,,,
Ceftazidime,CEFTAZIDIME OPHTHALMIC INJ 22.5 MG/ML (OPTIME),,,,,
Ceftazidime,CEFTAZIDIME OPHTHALMIC INJ 22.5 MG/ML (UCI),,,,,
Ceftazidime,CEFTAZIDIME OPHTHALMIC INJ 2.25 MG / 0.1 ML (OPTIME),,,,,
lamivudine,LAMIVUDINE 10 MG/ML OR SOLN,,,,,
Darunavir,DARUNAVIR ETHANOLATE 800 MG PO TABS,,,,,
Darunavir,DARUNAVIR ETHANOLATE 600 MG OR TABS,,,,,
Procainamide,no matches found,,,,,
Desvenlafaxine,DESVENLAFAXINE SUCCINATE 50 MG OR TB24,,,,,
Ofloxacin,OFLOXACIN 0.3 % OP SOLN,,,,,
Ofloxacin,OFLOXACIN 0.3 % OT SOLN,,,,,
Treprostinil,TREPROSTINIL 100 MG/20ML IJ SOLN,,,,,
Treprostinil,TREPROSTINIL 200 MG/20ML IJ SOLN,,,,,
Ambrisentan,AMBRISENTAN 5 MG OR TABS,,,,,
Cefoxitin,CEFOXITIN IVPB 1 GM (UCI),,,,,
Cefoxitin,CEFOXITIN IVPB 2 GM (UCI),,,,,
Cefoxitin,CEFOXITIN IV PUSH 2 GM IN SWFI 20 ML,,,,,
Cefoxitin,CEFOXITIN IV 2 GM,,,,,
Cefoxitin,CEFOXITIN IV 1 GM,,,,,
Cefoxitin,CEFOXITIN SODIUM 1 GM IV SOLR,,,,,
Cefoxitin,CEFOXITIN SODIUM 2 GM IV SOLR,,,,,
Isoniazid,ISONIAZID 300 MG OR TABS,,,,,
Isoniazid,ISONIAZID 50 MG/5ML OR SYRP,,,,,
Enalaprilat,ENALAPRILAT 1.25 MG/ML IV INJ,,,,,
Zidovudine,no matches found,,,,,
Amlodipine; Benazepril,AMLODIPINE-BENAZEPRIL 10-20 MG OR CAPS,,,,,
Amlodipine; Benazepril,AMLODIPINE 5 MG OR TABS,,,,,
Methylergonovine,METHYLERGONOVINE MALEATE 0.2 MG/ML IJ SOLN,,,,,
Emtricitabine; Rilpivirine; Tenofovir,no matches found,,,,,
Darunavir; Cobicistat; Emtricitabine; Tenofovir,no matches found,,,,,
Lurasidone,LURASIDONE HCL 40 MG PO TABS,,,,,
Lurasidone,LURASIDONE HCL 20 MG PO TABS,,,,,
Tobramycin,TOBRAMYCIN SULFATE 80 MG/2ML IJ SOLN,,,,,
Tobramycin,TOBRAMYCIN SULFATE 1.2 GM IJ SOLR,,,,,
Tobramycin,TOBRAMYCIN SULFATE 0.3 % OP SOLN,,,,,
Tobramycin,TOBRAMYCIN SULFATE 0.3 % OP OINT,,,,,
Tobramycin,TOBRAMYCIN IVPB (UCI),,,,,
Tobramycin,TOBRAMYCIN-DEXAMETHASONE 0.3-0.1 % OP SUSP,,,,,
Tobramycin,TOBRAMYCIN-DEXAMETHASONE 0.3-0.1 % OP OINT,,,,,
Celecoxib,CELECOXIB 100 MG OR CAPS,,,,,
nevirapine,NEVIRAPINE 200 MG OR TABS,,,,,
Aminocaproic acid,AMINOCAPROIC ACID IV BOLUS (UCI),,,,,
Aminocaproic acid,AMINOCAPROIC ACID INFUSION (UCI),,,,,
Aminocaproic acid,AMINOCAPROIC ACID 250 MG/ML IV SOLN,,,,,
Aminocaproic acid,AMINOCAPROIC ACID 500 MG OR TABS,,,,,
Aminocaproic acid,AMINOCAPROIC ACID 10 G IN 1000 ML NS IRRIGATION (OPTIME),,,,,
Terbutaline,no matches found,,,,,
Tetracaine,TETRACAINE HCL 0.5 % OP SOLN,,,,,
Tetracaine,TETRACAINE HCL 1 % IJ SOLN,,,,,
Tetracaine,TETRACAINE HCL 0.5% VISCOUS OP SOLN (UCI),,,,,
Macitentan,MACITENTAN 10 MG PO TABS,,,,,
Olmesartan; Hydrochlorothiazide,no matches found,,,,,
Ceftolozane; Tazobactam,CEFTOLOZANE-TAZOBACTAM IVPB 1.5 G (UCI),,,,,
Epoprostenol,EPOPROSTENOL INFUSION (UCI),,,,,
Liraglutide,LIRAGLUTIDE 18 MG/3ML SC SOPN,,,,,
Abacavir,ABACAVIR SULFATE 300 MG OR TABS,,,,,
Clarithromycin,CLARITHROMYCIN 250 MG OR TABS,,,,,
Iodine,IODINE STRONG 5 % OR SOLN,,,,,
Etravirine,ETRAVIRINE 100 MG OR TABS,,,,,
Imipramine,IMIPRAMINE HCL 25 MG OR TABS,,,,,
Olmesartan,no matches found,,,,,
Rifampin,RIFAMPIN 300 MG OR CAPS,,,,,
Rifampin,RIFAMPIN IVPB 600 MG (UCI),,,,,
Rifampin,RIFAMPIN IVPB 300 MG (UCI),,,,,
Ethambutol,ETHAMBUTOL HCL 400 MG OR TABS,,,,,
Ethambutol,ETHAMBUTOL HCL 100 MG OR TABS,,,,,
lamivudine; zidovudine,no matches found,,,,,
lopinavir; ritonavir,LOPINAVIR-RITONAVIR 200-50 MG OR TABS,,,,,
Nebivolol,no matches found,,,,,
Efavirenz; Emtricitabine; Tenofovir,no matches found,,,,,
Abacavir; Lamivudine,ABACAVIR-LAMIVUDINE 600-300 MG OR TABS,,,,,
Efavirenz,no matches found,,,,,
Mifepristone,no matches found,,,,,
Neomycin; Polymyxin; Gramicidin,no matches found,,,,,
Lidocaine; Bupivacaine; Epinephrine,no matches found,,,,,
Naproxen,NAPROXEN 250 MG OR TABS,,,,,
Clotting Factor,no matches found,,,,,
Ramipril,no matches found,,,,,
Flumazenil,FLUMAZENIL 1 MG/10ML IV SOLN,,,,,
Lidocaine; Diphenhydramine; Aluminum hydroxide; Magnesium hydroxide; Simethicone,no matches found,,,,,
Droperidol,no matches found,,,,,
Penicillin,PENICILLIN G POTASSIUM IVPB <= 3 MILLION UNITS (UCI),,,,,
Penicillin,PENICILLIN G SODIUM IVPB <4 MILLION UNITS (UCI),,,,,
Penicillin,PENICILLIN G SODIUM IVPB >=4 MILLION UNITS (UCI),,,,,
Penicillin,PENICILLIN G POT IN DEXTROSE 60000 UNIT/ML IV SOLN,,,,,
Penicillin,PENICILLIN G BENZATHINE 1200000 UNIT/2ML IM SUSP,,,,,
Penicillin,PENICILLIN G BENZATHINE 2400000 UNIT/4ML IM SUSP,,,,,
